,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,AC,rain,snow,sun,distance_miles,consumed_per_100m,MPG,consumption_rate
0,28.0,5.0,26,21.5,12,E10,45.0,E10,0,0,0,0,17.398388,1.3208600000000001,13.172015202216736,17.857142857142858
1,12.0,4.2,30,21.5,13,E10,,,0,0,0,0,7.4564520000000005,1.1095224000000001,6.720415919498335,35.0
2,11.2,5.5,38,21.5,15,E10,,,0,0,0,0,6.9593552,1.452946,4.789823709896996,49.10714285714286
3,12.9,3.9,36,21.5,14,E10,,,0,0,0,0,8.015685900000001,1.0302708,7.780173814496151,30.23255813953488
4,18.5,4.5,46,21.5,15,E10,,,0,0,0,0,11.4953635,1.188774,9.66993179527816,24.324324324324326
5,8.3,6.4,50,21.5,10,E10,,,0,0,0,0,5.1573793000000006,1.6907008000000001,3.0504387884597914,77.10843373493975
6,7.8,4.4,43,21.5,11,E10,,,0,0,0,0,4.8466938,1.1623568000000002,4.16971260459783,56.41025641025642
7,12.3,5.0,40,21.5,6,E10,,,0,0,0,0,7.6428633,1.3208600000000001,5.786278106688067,40.65040650406504
8,4.9,6.4,26,21.5,4,E10,,,0,0,0,0,3.0447179,1.6907008000000001,1.8008614534280696,130.6122448979592
9,11.9,5.3,30,21.5,9,E10,,,0,0,0,0,7.3943149,1.4001116,5.281232510322749,44.53781512605042
10,12.4,5.6,42,21.5,4,E10,,,0,0,0,0,7.7050004,1.4793632,5.20832233761121,45.16129032258064
11,11.8,4.6,38,21.5,0,E10,,,0,0,0,0,7.3321778,1.2151912,6.033764727723506,38.983050847457626
12,12.3,5.9,59,21.5,10,E10,,,0,0,0,0,7.6428633,1.5586148000000002,4.903625514142429,47.96747967479675
13,24.7,5.1,58,21.5,12,E10,,,0,0,0,0,15.3478637,1.3472772,11.391763847855511,20.647773279352226
14,12.4,4.7,46,21.5,11,E10,,,0,0,0,0,7.7050004,1.2416084,6.205660657579314,37.903225806451616
15,17.3,5.1,24,21.5,5,E10,,,0,0,0,0,10.749718300000001,1.3472772,7.978846743639692,29.479768786127163
16,33.4,5.6,36,21.5,3,E10,,,0,0,0,0,20.7537914,1.4793632,14.028868231952774,16.766467065868262
17,11.8,5.1,32,21.5,3,E10,,,0,0,0,0,7.3321778,1.3472772,5.442219166181986,43.220338983050844
18,25.9,4.9,39,21.5,8,E10,,,0,0,0,0,16.0935089,1.2944428000000001,12.43276945107192,18.91891891891892
19,11.8,4.7,40,21.5,4,E10,,,0,0,0,0,7.3321778,1.2416084,5.905386754793218,39.83050847457627
20,25.3,5.5,32,21.5,3,E10,,,0,0,0,0,15.7206863,1.452946,10.81986963039232,21.73913043478261
21,14.2,5.9,38,21.5,1,E10,,,0,0,0,0,8.823468199999999,1.5586148000000002,5.661096122018088,41.549295774647895
22,17.9,5.7,37,21.5,1,E10,,,0,0,0,0,11.122540899999999,1.5057804000000001,7.386562409764397,31.84357541899442
23,11.8,4.7,36,21.5,1,E10,,,0,0,0,0,7.3321778,1.2416084,5.905386754793218,39.83050847457627
24,12.3,5.9,62,21.5,6,E10,,,0,0,0,0,7.6428633,1.5586148000000002,4.903625514142429,47.96747967479675
25,12.4,4.1,57,21.5,9,E10,,,0,0,0,0,7.7050004,1.0831051999999999,7.113806119664093,33.064516129032256
26,18.4,5.7,21,22.5,2,E10,,,0,0,0,0,11.433226399999999,1.5057804000000001,7.592890968696364,30.978260869565222
27,18.4,5.8,28,21.5,3,E10,,,0,0,0,0,11.433226399999999,1.5321976000000002,7.461979055442978,31.521739130434785
28,18.3,5.5,29,21.5,1,E10,,,0,0,0,0,11.371089300000001,1.452946,7.826229811706699,30.05464480874317
29,18.4,5.7,35,21.5,4,E10,,,0,0,0,0,11.433226399999999,1.5057804000000001,7.592890968696364,30.978260869565222
30,12.3,5.3,51,21.5,11,E10,,,0,0,0,0,7.6428633,1.4001116,5.458752930837799,43.08943089430894
31,11.8,5.0,29,21.5,10,E10,,,0,0,0,0,7.3321778,1.3208600000000001,5.551063549505625,42.3728813559322
32,12.3,5.6,58,21.5,8,E10,,,0,0,0,0,7.6428633,1.4793632,5.166319738114345,45.52845528455284
33,32.6,4.8,40,21.5,7,E10,,,0,0,0,0,20.2566946,1.2680256,15.9749886753075,14.723926380368097
34,19.0,4.3,36,21.5,7,E10,,,0,0,0,0,11.806049,1.1359396,10.393201363875333,22.631578947368418
35,12.1,5.7,36,21.5,8,E10,,,0,0,0,0,7.5185891,1.5057804000000001,4.993151126153587,47.10743801652893
